Date,Bookmaker,Home Team,Away Team,Outcome,Odds
2024-12-04T00:00:00Z,LowVig.ag,Akron Zips,Northern Kentucky Norse,Akron Zips,1.36
2024-12-04T00:00:00Z,LowVig.ag,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.35
2024-12-04T00:00:00Z,FanDuel,Akron Zips,Northern Kentucky Norse,Akron Zips,1.34
2024-12-04T00:00:00Z,FanDuel,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.35
2024-12-04T00:00:00Z,Bovada,Akron Zips,Northern Kentucky Norse,Akron Zips,1.34
2024-12-04T00:00:00Z,Bovada,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.4
2024-12-04T00:00:00Z,DraftKings,Akron Zips,Northern Kentucky Norse,Akron Zips,1.34
2024-12-04T00:00:00Z,DraftKings,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.4
2024-12-04T00:00:00Z,BetMGM,Akron Zips,Northern Kentucky Norse,Akron Zips,1.33
2024-12-04T00:00:00Z,BetMGM,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.4
2024-12-04T00:00:00Z,BetUS,Akron Zips,Northern Kentucky Norse,Akron Zips,1.35
2024-12-04T00:00:00Z,BetUS,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.38
2024-12-04T00:00:00Z,MyBookie.ag,Akron Zips,Northern Kentucky Norse,Akron Zips,1.31
2024-12-04T00:00:00Z,MyBookie.ag,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.49
2024-12-04T00:00:00Z,BetRivers,Akron Zips,Northern Kentucky Norse,Akron Zips,1.35
2024-12-04T00:00:00Z,BetRivers,Akron Zips,Northern Kentucky Norse,Northern Kentucky Norse,3.0
2024-12-04T00:00:00Z,BetOnline.ag,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.51
2024-12-04T00:00:00Z,BetOnline.ag,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.7
2024-12-04T00:00:00Z,LowVig.ag,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.51
2024-12-04T00:00:00Z,LowVig.ag,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.7
2024-12-04T00:00:00Z,FanDuel,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.52
2024-12-04T00:00:00Z,FanDuel,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.6
2024-12-04T00:00:00Z,Bovada,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.56
2024-12-04T00:00:00Z,Bovada,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.55
2024-12-04T00:00:00Z,DraftKings,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.49
2024-12-04T00:00:00Z,DraftKings,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.7
2024-12-04T00:00:00Z,BetMGM,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.5
2024-12-04T00:00:00Z,BetMGM,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.65
2024-12-04T00:00:00Z,BetUS,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.51
2024-12-04T00:00:00Z,BetUS,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.67
2024-12-04T00:00:00Z,MyBookie.ag,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.5
2024-12-04T00:00:00Z,MyBookie.ag,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.62
2024-12-04T00:00:00Z,BetRivers,Miami Hurricanes,Arkansas Razorbacks,Arkansas Razorbacks,1.49
2024-12-04T00:00:00Z,BetRivers,Miami Hurricanes,Arkansas Razorbacks,Miami Hurricanes,2.65
2024-12-04T00:00:00Z,DraftKings,Le Moyne Dolphins,Army Knights,Army Knights,1.82
2024-12-04T00:00:00Z,DraftKings,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.02
2024-12-04T00:00:00Z,MyBookie.ag,Le Moyne Dolphins,Army Knights,Army Knights,1.71
2024-12-04T00:00:00Z,MyBookie.ag,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.0
2024-12-04T00:00:00Z,FanDuel,Le Moyne Dolphins,Army Knights,Army Knights,1.78
2024-12-04T00:00:00Z,FanDuel,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.04
2024-12-04T00:00:00Z,BetMGM,Le Moyne Dolphins,Army Knights,Army Knights,1.8
2024-12-04T00:00:00Z,BetMGM,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.05
2024-12-04T00:00:00Z,BetRivers,Le Moyne Dolphins,Army Knights,Army Knights,1.7
2024-12-04T00:00:00Z,BetRivers,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.16
2024-12-04T00:00:00Z,Bovada,Le Moyne Dolphins,Army Knights,Army Knights,1.83
2024-12-04T00:00:00Z,Bovada,Le Moyne Dolphins,Army Knights,Le Moyne Dolphins,2.0
2024-12-04T00:00:00Z,BetOnline.ag,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.65
2024-12-04T00:00:00Z,BetOnline.ag,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.53
2024-12-04T00:00:00Z,LowVig.ag,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.65
2024-12-04T00:00:00Z,LowVig.ag,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.53
2024-12-04T00:00:00Z,FanDuel,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.64
2024-12-04T00:00:00Z,FanDuel,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.5
2024-12-04T00:00:00Z,Bovada,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.65
2024-12-04T00:00:00Z,Bovada,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.51
2024-12-04T00:00:00Z,DraftKings,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.6
2024-12-04T00:00:00Z,DraftKings,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.52
2024-12-04T00:00:00Z,BetMGM,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.65
2024-12-04T00:00:00Z,BetMGM,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.5
2024-12-04T00:00:00Z,BetUS,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.67
2024-12-04T00:00:00Z,BetUS,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.51
2024-12-04T00:00:00Z,MyBookie.ag,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.63
2024-12-04T00:00:00Z,MyBookie.ag,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.49
2024-12-04T00:00:00Z,BetRivers,Boston College Eagles,South Carolina Gamecocks,Boston College Eagles,2.55
2024-12-04T00:00:00Z,BetRivers,Boston College Eagles,South Carolina Gamecocks,South Carolina Gamecocks,1.51
2024-12-04T00:00:00Z,DraftKings,Vermont Catamounts,Brown Bears,Brown Bears,2.95
2024-12-04T00:00:00Z,DraftKings,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.42
2024-12-04T00:00:00Z,MyBookie.ag,Vermont Catamounts,Brown Bears,Brown Bears,3.0
2024-12-04T00:00:00Z,MyBookie.ag,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.34
2024-12-04T00:00:00Z,BetMGM,Vermont Catamounts,Brown Bears,Brown Bears,3.0
2024-12-04T00:00:00Z,BetMGM,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.4
2024-12-04T00:00:00Z,FanDuel,Vermont Catamounts,Brown Bears,Brown Bears,3.1
2024-12-04T00:00:00Z,FanDuel,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.38
2024-12-04T00:00:00Z,BetRivers,Vermont Catamounts,Brown Bears,Brown Bears,2.8
2024-12-04T00:00:00Z,BetRivers,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.43
2024-12-04T00:00:00Z,Bovada,Vermont Catamounts,Brown Bears,Brown Bears,3.15
2024-12-04T00:00:00Z,Bovada,Vermont Catamounts,Brown Bears,Vermont Catamounts,1.38
